timestamp,src_ip,dst_ip,src_port,dst_port,protocol,length,suspicious,suspicious_reason
2026-07-18 00:27:15,192.168.18.71,8.8.4.4,63199,443,UDP,260,False,
2026-07-18 00:27:15,192.168.18.71,8.8.4.4,63199,443,UDP,253,False,
2026-07-18 00:27:15,8.8.4.4,192.168.18.71,443,63199,UDP,582,False,
2026-07-18 00:27:15,8.8.4.4,192.168.18.71,443,63199,UDP,571,False,
2026-07-18 00:27:15,8.8.4.4,192.168.18.71,443,63199,UDP,64,False,
2026-07-18 00:27:15,8.8.4.4,192.168.18.71,443,63199,UDP,64,False,
2026-07-18 00:27:15,192.168.18.71,8.8.4.4,63199,443,UDP,78,False,
2026-07-18 00:27:15,192.168.18.71,8.8.4.4,63199,443,UDP,73,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.142,54075,443,UDP,1292,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.142,54075,443,UDP,1292,False,
2026-07-18 00:27:15,8.8.4.4,192.168.18.71,443,63199,UDP,70,False,
2026-07-18 00:27:15,142.250.202.142,192.168.18.71,443,54075,UDP,82,False,
2026-07-18 00:27:15,142.250.202.142,192.168.18.71,443,54075,UDP,1292,False,
2026-07-18 00:27:15,142.250.202.142,192.168.18.71,443,54075,UDP,1292,False,
2026-07-18 00:27:15,142.250.202.142,192.168.18.71,443,54075,UDP,1292,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.142,54075,443,UDP,1292,False,
2026-07-18 00:27:15,192.168.18.71,8.8.4.4,63199,443,UDP,74,False,
2026-07-18 00:27:15,8.8.4.4,192.168.18.71,443,63199,UDP,66,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.142,60683,443,HTTPS,66,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.142,54075,443,UDP,79,False,
2026-07-18 00:27:15,192.168.18.71,34.117.39.58,59373,443,HTTPS,55,False,
2026-07-18 00:27:15,142.250.202.142,192.168.18.71,443,60683,HTTPS,66,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.142,60683,443,HTTPS,54,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.142,60683,443,HTTPS,1466,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.142,60683,443,HTTPS,373,False,
2026-07-18 00:27:15,103.66.180.185,192.168.18.71,9076,64660,TCP,55,False,
2026-07-18 00:27:15,192.168.18.71,103.66.180.185,64660,9076,TCP,102,False,
2026-07-18 00:27:15,8.8.4.4,192.168.18.71,443,63199,UDP,571,False,
2026-07-18 00:27:15,8.8.4.4,192.168.18.71,443,63199,UDP,64,False,
2026-07-18 00:27:15,192.168.18.71,8.8.4.4,63199,443,UDP,77,False,
2026-07-18 00:27:15,8.8.4.4,192.168.18.71,443,63199,UDP,572,False,
2026-07-18 00:27:15,8.8.4.4,192.168.18.71,443,63199,UDP,64,False,
2026-07-18 00:27:15,192.168.18.71,8.8.4.4,63199,443,UDP,77,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.106,52823,443,UDP,1292,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.106,52823,443,UDP,1292,False,
2026-07-18 00:27:15,142.250.202.142,192.168.18.71,443,60683,HTTPS,54,False,
2026-07-18 00:27:15,150.171.27.10,192.168.18.71,443,55476,HTTPS,54,False,
2026-07-18 00:27:15,192.168.18.71,150.171.27.10,55476,443,HTTPS,54,False,
2026-07-18 00:27:15,192.168.18.71,142.250.202.142,54075,443,UDP,79,False,
2026-07-18 00:27:15,142.250.202.142,192.168.18.71,443,54075,UDP,1292,False,
2026-07-18 00:27:15,142.250.202.142,192.168.18.71,443,54075,UDP,1292,False,
2026-07-18 00:27:15,142.250.202.142,192.168.18.71,443,54075,UDP,1292,False,
2026-07-18 00:27:15,142.250.202.142,192.168.18.71,443,54075,UDP,306,False,
